TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-10-20,2025-10-20,CM,BSE,STK,132648,INE528G01035,YESBANK#,A,,,,,Yes Bank Ltd.,22.80,22.90,22.80,22.65,22.85,22.24,,,,,3,68.00,3,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,132822,INE669E01016,IDEA#,A,,,,,VODAFONE IDEA  LIMITED,8.85,8.90,8.85,8.95,8.90,8.70,,,,,75,663.00,3,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5204.95,5271.60,5204.95,5229.00,5230.50,5198.70,,5231.45,,,4690,24545603.00,1265,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,808.00,812.85,799.10,801.95,805.80,804.75,,802.10,,,8993,7236630.00,601,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,992.00,997.80,985.30,986.85,988.00,994.20,,987.20,,,16510,16331597.00,1338,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,32.00,32.60,31.65,32.04,32.04,31.98,,32.04,,,32012,1029858.00,249,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,51.99,51.99,51.00,51.23,51.29,51.54,,51.23,,,50584,2594192.00,439,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.55,4.59,4.46,4.46,4.46,4.55,,4.35,,,3220,14521.00,9,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.39,5.56,5.31,5.46,5.47,5.29,,5.46,,,7571,41133.00,86,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.27,8.79,8.27,8.63,8.63,8.79,,8.63,,,3967,33956.00,57,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,173.15,176.15,172.70,174.50,174.90,172.65,,174.75,,,24678,4301398.00,527,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,334.35,339.60,334.05,339.60,339.60,336.40,,338.70,,,83,28000.00,22,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6004.40,6039.05,5837.60,5928.90,5935.50,5916.95,,5922.35,,,1419,8428222.00,444,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,31.75,32.25,30.53,31.17,31.17,30.98,,31.17,,,22708,713936.00,175,F1,1,,,,,
2025-10-20,2025-10-20,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,543.05,543.05,535.00,538.35,540.00,540.30,,538.35,,,8717,4682678.00,596,F1,1,,,,,
