TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6618.25,6742.60,6618.25,6704.50,6680.00,6618.85,,6706.20,,,4261,28522327.00,1437,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,859.00,1015.65,855.00,970.20,970.20,846.40,,964.20,,,633579,583334908.00,17737,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1140.10,1162.70,1137.05,1139.15,1139.15,1148.00,,1140.10,,,87713,100744895.00,5967,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,56.13,57.50,55.64,56.84,56.84,56.13,,56.84,,,55832,3169622.00,236,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,72.33,73.40,70.00,71.58,71.58,72.23,,71.58,,,65734,4738993.00,653,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.10,7.30,7.03,7.14,7.14,7.02,,7.14,,,14462,104563.00,147,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.48,12.29,10.77,12.15,12.15,10.64,,12.15,,,40965,486553.00,125,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,181.45,188.00,178.95,186.50,186.50,179.00,,186.65,,,65753,12068531.00,1366,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,293.40,293.40,293.40,293.40,293.40,308.80,,292.15,,,536,157262.00,11,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6830.40,6946.70,6830.40,6914.60,6904.30,6798.60,,6920.25,,,475,3283012.00,166,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,43.50,49.48,42.71,49.48,49.48,44.99,,49.48,,,292869,14051098.00,1280,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,759.00,794.00,753.00,784.45,783.80,758.35,,781.70,,,865,667919.00,164,F1,1,,,,,
2025-01-07,2025-01-07,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,29.01,30.07,28.98,29.90,29.90,28.92,,29.88,,,489495,14412205.00,1977,F1,1,,,,,
