TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-18,2024-10-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8680.00,8851.00,8560.00,8780.45,8780.45,8686.15,,8782.95,,,8019,69963361.00,1784,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,733.10,734.00,721.65,725.90,726.05,731.10,,725.25,,,6172,4489265.00,367,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1366.25,1379.40,1339.20,1342.80,1342.80,1369.70,,1342.40,,,52470,70740263.00,5316,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,58.00,58.00,57.00,57.45,57.45,57.91,,57.45,,,53527,3074832.00,360,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,88.07,90.00,87.05,88.31,88.31,89.46,,88.31,,,83946,7434089.00,1351,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.45,7.80,7.11,7.28,7.25,7.26,,7.28,,,44002,331888.00,220,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.53,11.53,11.01,11.51,11.51,11.54,,11.51,,,2981,33204.00,29,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,240.05,252.70,235.50,249.95,249.95,240.85,,249.65,,,265882,65659157.00,3976,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,202.15,202.90,199.00,199.55,199.00,202.15,,199.70,,,218,43627.00,37,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7686.90,7804.90,7686.90,7770.25,7772.95,7760.85,,7774.45,,,1416,11012458.00,429,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,40.40,41.50,37.59,39.57,39.80,39.56,,39.57,,,143752,5753275.00,702,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,870.00,881.30,855.85,860.35,861.65,876.05,,860.15,,,5358,4619155.00,861,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,37.26,37.59,36.60,37.34,37.43,37.52,,37.34,,,1057518,39339775.00,4827,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,7009.95,7070.00,6822.85,6904.80,6904.80,6930.95,,6908.70,,,1781,12272927.00,488,F1,1,,,,,
2024-10-18,2024-10-18,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6895.00,6938.00,6821.55,6897.25,6897.25,6904.35,,6899.40,,,38565,265706920.00,6970,F1,1,,,,,
