TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-30,2025-12-30,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5166.75,5166.75,5104.80,5142.40,5142.40,5167.20,,5138.60,,,4881,25052273.00,943,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,713.00,714.30,702.40,703.90,705.00,712.55,,703.70,,,11005,7772329.00,1251,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,905.00,910.00,893.00,894.90,895.90,905.40,,894.90,,,27324,24586147.00,3447,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,28.98,29.33,28.00,28.53,28.55,28.98,,28.53,,,28951,827641.00,249,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,52.00,53.40,50.15,50.66,50.66,52.17,,50.66,,,42963,2199039.00,364,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.48,3.51,3.39,3.40,3.40,3.45,,3.39,,,38505,132138.00,49,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.87,4.87,4.62,4.66,4.72,4.66,,4.66,,,1413,6589.00,41,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.57,8.86,8.04,8.40,8.40,8.54,,8.40,,,8588,71157.00,43,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,128.15,131.90,128.10,131.45,131.90,128.80,,131.50,,,24214,3147280.00,466,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,295.25,338.50,289.85,317.85,318.50,294.65,,315.50,,,12359,3911631.00,293,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6164.50,6177.70,6030.00,6051.00,6051.00,6150.10,,6040.00,,,941,5737975.00,338,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,43.40,43.90,42.00,42.54,42.55,42.17,,42.54,,,41767,1792284.00,170,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,476.00,481.00,472.25,473.95,474.75,483.80,,473.45,,,2399,1144949.00,188,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,18.49,18.49,18.01,18.18,18.18,18.45,,18.16,,,196652,3588733.00,982,F1,1,,,,,
2025-12-30,2025-12-30,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,19039.60,19975.00,18737.35,19840.95,19840.95,18990.00,,19844.70,,,13435,260980574.00,5128,F1,1,,,,,
