TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-03,2025-01-03,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6919.65,6932.15,6765.40,6792.30,6787.00,6890.55,,6800.00,,,3486,23863676.00,1334,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,833.95,834.00,804.50,810.25,810.00,820.45,,811.35,,,16843,13799120.00,1089,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1200.80,1220.00,1186.85,1190.05,1192.95,1200.05,,1189.90,,,26207,31351728.00,1606,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,57.80,57.80,56.25,56.82,56.82,57.48,,56.82,,,56780,3241447.00,366,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,75.00,76.40,75.00,75.44,75.44,75.84,,75.44,,,50705,3837083.00,545,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.12,7.45,7.12,7.26,7.32,7.25,,7.26,,,8654,63164.00,138,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.79,11.79,11.23,11.61,11.48,11.69,,11.61,,,5838,67902.00,26,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,195.55,198.85,193.50,194.05,194.05,195.90,,193.95,,,65704,12865707.00,1275,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,325.05,325.05,325.05,325.05,325.05,342.15,,312.25,,,2276,739813.00,23,F1,1,,,,,
2025-01-03,2025-01-03,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7001.40,7001.45,6850.00,6881.00,6850.00,6981.45,,6878.25,,,649,4499653.00,231,F1,1,,,,,
