TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-10-29,2025-10-29,CM,BSE,STK,123025,INE429E01023,SAFARI#,A,,,,,Safari Industries (India) Ltd.,2140.00,2140.00,2110.00,2161.60,2130.00,2130.00,,,,,4,8520.00,4,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,126371,INE584A01023,NMDC#,A,,,,,NMDC LTD.,76.00,76.00,76.00,76.65,76.00,74.60,,,,,1,76.00,1,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5180.00,5299.30,5179.45,5290.55,5290.55,5176.40,,5289.10,,,16058,84489831.00,2749,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,801.35,801.70,784.10,785.95,785.95,802.75,,785.35,,,7798,6166592.00,798,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1012.45,1015.00,1002.60,1013.20,1015.00,1003.40,,1013.30,,,18388,18541360.00,1258,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,32.58,32.75,32.15,32.54,32.54,32.03,,32.54,,,30429,990278.00,171,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,51.75,52.87,51.50,52.58,52.58,51.55,,52.58,,,57619,3008173.00,509,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.64,5.79,5.60,5.67,5.70,5.51,,5.67,,,10880,61655.00,87,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.98,8.98,8.52,8.96,8.96,9.00,,8.96,,,3516,30972.00,26,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,167.05,171.75,167.05,168.40,168.40,167.65,,168.50,,,53494,9057002.00,679,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,327.05,332.25,327.05,329.35,329.35,329.20,,330.05,,,15,4945.00,6,F1,1,,,,,
2025-10-29,2025-10-29,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5909.20,5912.30,5865.00,5890.65,5896.65,5909.20,,5891.00,,,552,3251559.00,185,F1,1,,,,,
