TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-02-20,2025-02-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5118.30,5365.10,5075.05,5345.05,5347.25,5122.85,,5344.65,,,22593,119639508.00,4826,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,739.00,750.70,720.75,728.10,727.10,756.90,,729.25,,,157898,116295935.00,4605,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,974.85,1068.70,970.25,1044.65,1044.65,970.85,,1045.60,,,216079,225151468.00,8597,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,43.82,44.78,43.42,43.91,43.91,43.82,,43.91,,,389806,17117087.00,324,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,57.07,59.50,56.20,58.74,58.99,56.73,,58.74,,,61286,3575376.00,434,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,7.45,7.50,7.20,7.50,7.50,7.26,,7.49,,,21046,156572.00,34,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.50,5.79,5.18,5.34,5.33,5.51,,5.34,,,29776,159868.00,125,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.40,10.93,10.40,10.84,10.84,10.33,,10.84,,,18490,199690.00,49,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,142.00,145.50,140.70,144.35,143.90,142.80,,144.30,,,37796,5408193.00,619,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,362.50,365.00,362.50,365.00,365.00,369.85,,365.00,,,649,235648.00,7,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5516.60,5570.00,5512.00,5559.15,5559.15,5558.75,,5564.25,,,905,5026720.00,293,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,31.39,31.77,31.05,31.77,31.77,30.26,,31.77,,,25407,805557.00,184,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,662.45,670.15,652.50,659.00,658.00,655.60,,656.65,,,2878,1900050.00,447,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,22.36,22.50,21.57,22.26,22.26,22.45,,22.25,,,1216773,26799120.00,5344,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6687.85,6871.75,6597.65,6815.60,6815.60,6693.95,,6816.75,,,2812,18950422.00,918,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,8312.05,8448.90,8312.05,8398.05,8380.85,8440.45,,8399.40,,,22774,191143082.00,3736,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,446.75,486.05,444.00,477.55,476.00,446.50,,477.65,,,65870,30397475.00,2484,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,312.05,324.45,308.20,320.55,319.00,311.20,,320.40,,,28102,8961342.00,2273,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,2037.90,2056.35,2012.05,2026.95,2045.00,2037.30,,2030.20,,,4064,8264510.00,723,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3573.00,3573.00,3573.00,3573.00,3573.00,3573.00,,3501.20,,,2,7146.00,2,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,4499.95,4515.00,4417.55,4453.00,4453.40,4448.95,,4449.75,,,1807,8066102.00,540,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1256.00,1267.30,1246.20,1264.20,1263.60,1256.70,,1264.15,,,6799,8547224.00,1142,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,2650.90,2689.85,2617.50,2626.35,2626.35,2651.35,,2624.60,,,19717,52372782.00,1986,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,251.20,260.65,250.15,260.20,260.20,253.40,,260.25,,,1388511,356863275.00,13177,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,106.50,108.25,105.05,106.80,106.60,106.60,,106.80,,,51716,5523652.00,1534,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,12.41,12.99,12.00,12.50,12.50,12.18,,12.50,,,43515,544642.00,221,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500059,INE071A01013,BINANIIND,B,,,,,BINANI INDUSTRIES LTD.,12.75,12.75,12.04,12.41,12.41,12.70,,12.64,,,4301,52650.00,36,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,158.80,162.20,151.05,161.30,161.30,150.55,,161.20,,,8291,1316988.00,550,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1890.35,1927.75,1860.10,1911.85,1902.60,1898.30,,1915.60,,,14821,28021678.00,1681,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,14646.85,14646.85,14236.65,14396.50,14352.00,14646.85,,14396.50,,,39,563229.00,27,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,350.00,359.50,343.00,355.95,355.95,342.45,,355.95,,,97,34315.00,14,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,76.10,84.20,75.20,82.18,82.18,76.73,,82.49,,,94991,7759618.00,1066,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,292.40,334.50,292.40,332.75,334.50,307.15,,332.60,,,3450,1107845.00,351,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,19.83,20.47,19.69,20.46,20.47,18.90,,20.32,,,9671,195390.00,182,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,131.75,138.50,131.05,137.85,137.85,131.60,,137.85,,,185447,25172177.00,3257,F1,1,,,,,
2025-02-20,2025-02-20,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,536.55,563.65,534.45,561.40,561.40,536.95,,561.35,,,184932,102315549.00,5619,F1,1,,,,,
