TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-08-28,2024-08-28,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7902.45,7954.95,7843.45,7936.80,7938.00,7901.95,,7938.40,,,2027,16032919.00,516,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,758.55,783.00,754.10,757.30,754.10,757.25,,759.00,,,7546,5807353.00,609,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1570.00,1577.15,1530.10,1535.85,1536.00,1571.60,,1535.60,,,24918,38608449.00,2044,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,67.67,69.45,66.30,66.76,66.76,67.67,,66.76,,,153590,10380926.00,702,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,99.85,102.00,99.20,99.65,99.65,99.80,,99.65,,,128389,12866838.00,1000,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,9.98,10.10,9.98,10.08,10.08,9.98,,9.93,,,15031,151659.00,33,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.16,8.16,7.91,7.95,7.94,8.02,,7.95,,,37125,295799.00,203,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,12.60,12.60,12.01,12.10,12.10,12.23,,12.10,,,6705,81708.00,41,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,232.25,232.95,222.00,222.90,225.45,228.40,,223.19,,,112499,25659483.00,1553,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,180.50,188.90,180.50,186.35,186.35,180.90,,187.11,,,298,55561.00,28,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7871.25,7944.00,7795.00,7905.35,7887.95,7905.15,,7899.35,,,471,3709174.00,235,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,34.50,34.50,34.34,34.34,34.34,35.04,,34.34,,,17915,616445.00,52,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,974.45,974.45,954.10,958.65,958.65,961.60,,959.80,,,3624,3478768.00,603,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,40.72,41.90,40.54,41.05,41.05,40.56,,41.08,,,2533474,104424193.00,8544,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,8380.20,8380.20,8211.10,8227.50,8227.50,8379.40,,8229.25,,,1878,15541366.00,704,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6855.90,6915.85,6850.10,6898.45,6898.45,6863.60,,6899.95,,,44231,304568432.00,6350,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,574.00,590.95,568.95,586.65,586.65,569.65,,587.35,,,359873,208204883.00,14226,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,682.70,697.40,672.60,677.15,676.75,671.10,,676.50,,,5741,3922744.00,386,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2509.50,2524.00,2460.00,2482.40,2482.40,2510.20,,2491.90,,,9892,24628297.00,1251,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3127.95,3132.45,3098.90,3121.60,3105.00,3065.00,,3109.45,,,73,227639.00,38,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,7035.00,7245.70,6760.00,6785.05,6785.05,7023.75,,6789.05,,,5505,37957461.00,1724,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1454.30,1468.30,1442.10,1449.45,1449.45,1453.80,,1449.85,,,26810,39165124.00,2792,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3876.60,3914.90,3863.80,3893.80,3896.50,3875.40,,3895.40,,,12326,47931180.00,1895,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,301.35,304.50,299.50,299.95,299.95,300.80,,299.95,,,749879,225799219.00,7285,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,168.00,168.90,163.10,163.65,164.00,168.75,,163.67,,,247225,40876463.00,3704,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,26.01,26.01,23.60,23.92,23.92,24.78,,23.92,,,429714,10909164.00,1036,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500059,INE071A01013,BINANIIND,B,,,,,BINANI INDUSTRIES LTD.,15.49,15.49,14.80,15.32,15.32,15.01,,15.19,,,1806,27739.00,58,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,272.85,282.00,272.85,277.40,274.00,278.50,,277.45,,,94624,26258171.00,1659,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1729.00,1750.15,1724.55,1745.90,1740.70,1724.30,,1746.65,,,3261,5662058.00,570,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,17929.00,18000.90,17929.00,17998.95,17998.95,17964.50,,17998.95,,,256,4604639.00,35,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,538.00,547.85,518.60,518.65,518.60,536.40,,518.65,,,6218,3348349.00,53,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL LTD.,124.50,126.70,123.00,123.70,123.70,125.55,,124.25,,,10460,1299013.00,225,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,572.80,572.80,523.00,529.20,528.20,538.50,,529.00,,,4478,2408238.00,473,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,28.13,29.00,27.45,28.55,28.90,28.13,,27.99,,,18998,534176.00,146,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,209.20,209.35,202.75,204.05,204.05,208.15,,204.11,,,421967,86899280.00,5450,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,519.00,525.00,513.25,515.35,515.35,515.60,,515.15,,,71210,36983592.00,2158,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,499.95,500.70,490.05,491.40,491.70,498.60,,491.70,,,61581,30491906.00,3047,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1611.35,1629.80,1595.45,1619.25,1619.25,1597.60,,1618.20,,,31925,51475207.00,3486,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500089,INE303A01010,DICIND,T,,,,,DIC INDIA LTD.,705.55,715.00,705.55,715.00,715.00,719.90,,715.00,,,1802,1278985.00,21,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4599.00,4599.00,4492.00,4539.05,4526.00,4522.35,,4538.10,,,687,3106578.00,259,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,729.00,730.40,707.50,711.35,711.35,728.95,,711.80,,,39840,28615626.00,2405,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,647.00,649.45,638.30,644.15,645.50,643.25,,644.40,,,12501,8045952.00,1147,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,422.00,449.00,422.00,445.55,445.55,421.20,,445.60,,,29500,13066295.00,1690,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,403.50,408.60,396.45,398.70,397.65,401.00,,399.00,,,35753,14310505.00,1453,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,298.70,298.85,294.00,294.50,294.50,297.70,,294.60,,,284412,84208245.00,4611,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,408.45,411.20,403.05,406.55,406.55,404.15,,406.60,,,358899,146079226.00,10185,F1,1,,,,,
2024-08-28,2024-08-28,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,72.00,79.90,72.00,76.75,76.75,70.65,,76.75,,,13152080,1007134458.00,55711,F1,1,,,,,
