TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-02-13,2025-02-13,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5465.00,5566.75,5403.30,5439.30,5430.55,5465.30,,5442.70,,,7079,38750549.00,2545,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,785.05,804.20,727.10,735.95,735.95,794.70,,736.70,,,149909,114171740.00,4950,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,999.00,1013.45,980.00,983.35,983.35,1001.20,,983.15,,,56777,56491586.00,5152,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,50.94,50.94,49.00,49.38,49.38,50.15,,49.38,,,148811,7451038.00,274,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,59.85,59.85,58.03,58.34,58.74,58.53,,58.34,,,50873,2993043.00,555,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,7.77,8.14,7.77,8.14,8.14,7.76,,8.14,,,17135,138123.00,45,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,6.11,6.43,5.61,6.01,6.01,5.87,,6.01,,,11163,68539.00,112,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.74,11.42,10.70,11.30,11.30,10.69,,11.30,,,3342,37105.00,59,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,150.10,151.35,146.90,148.15,148.15,149.05,,147.80,,,40315,6036044.00,595,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,361.90,362.00,356.00,356.00,356.00,361.90,,356.00,,,275,99375.00,16,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5756.35,5756.85,5570.00,5588.70,5570.00,5671.80,,5590.65,,,9736,55612924.00,4177,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,35.00,36.50,34.00,34.78,35.00,34.64,,34.78,,,38462,1361919.00,304,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,700.80,706.00,689.50,700.00,704.00,687.25,,698.10,,,2377,1658248.00,308,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,23.89,24.33,23.40,23.54,23.54,23.96,,23.54,,,1181913,28220993.00,5253,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6849.95,6998.00,6576.00,6769.45,6769.45,6665.55,,6768.80,,,5739,38923641.00,2020,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,8214.95,8497.00,8214.95,8405.65,8405.65,8219.00,,8408.95,,,51698,435210281.00,8629,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,441.55,444.25,436.00,437.00,436.15,440.85,,437.10,,,19274,8483751.00,1018,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,373.00,374.00,351.80,355.05,355.05,362.85,,354.30,,,43244,15598825.00,1439,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,2126.50,2140.95,2090.05,2101.30,2101.30,2137.85,,2099.80,,,4384,9255764.00,902,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,4270.00,4431.30,4237.00,4250.15,4237.00,4318.80,,4247.30,,,3282,14157864.00,807,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1356.90,1360.70,1318.10,1333.55,1334.40,1353.75,,1333.70,,,6323,8410415.00,1387,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,2885.00,3050.00,2885.00,2937.40,2927.35,2883.35,,2939.20,,,16322,48690472.00,1866,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,259.45,265.45,258.50,261.60,261.60,259.25,,261.55,,,1360130,357973260.00,13655,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,110.90,119.50,110.90,114.15,114.00,111.80,,114.20,,,64836,7472878.00,1686,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,14.78,14.78,13.62,14.33,14.44,13.98,,14.33,,,7605,109355.00,65,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500059,INE071A01013,BINANIIND,B,,,,,BINANI INDUSTRIES LTD.,13.02,13.30,12.62,12.92,13.00,12.55,,12.89,,,607,7942.00,20,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,165.00,170.25,164.00,164.70,164.00,165.85,,164.85,,,3319,555259.00,326,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1955.15,2003.75,1935.00,1995.90,1998.20,1993.55,,1994.80,,,10907,21401383.00,1544,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,15985.00,15985.00,15260.10,15260.10,15260.10,15428.30,,15260.10,,,31,484294.00,10,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,370.00,370.00,337.30,341.45,337.30,374.85,,341.45,,,5640,1999514.00,100,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,87.03,87.20,84.15,85.27,84.50,85.32,,85.12,,,13415,1148289.00,503,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,309.50,315.30,303.45,304.35,303.45,308.10,,303.50,,,2260,696277.00,355,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,20.84,22.00,20.84,21.52,21.37,21.51,,21.52,,,6120,132882.00,98,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,128.15,131.00,125.70,125.90,125.90,128.00,,125.90,,,94001,12044963.00,2123,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,531.05,545.60,528.50,534.75,534.75,529.50,,535.25,,,81356,43804490.00,2965,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,366.25,369.95,363.35,367.00,367.00,365.80,,366.95,,,134362,49342151.00,5490,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1459.75,1492.95,1449.60,1472.10,1471.70,1449.80,,1472.15,,,47980,71108831.00,3724,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,5050.00,5212.15,5010.65,5094.15,5108.35,5046.10,,5096.65,,,2615,13429973.00,931,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,580.05,594.00,576.50,578.60,578.60,576.90,,579.45,,,135177,79269414.00,3500,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,527.35,528.45,518.05,519.90,519.90,525.50,,519.85,,,10966,5755083.00,754,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,339.00,343.95,336.00,339.40,341.25,337.65,,338.75,,,2564,868911.00,193,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,340.95,340.95,330.00,331.40,331.25,334.55,,331.70,,,10278,3447201.00,680,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,199.50,205.40,199.05,201.55,201.80,198.80,,201.80,,,473211,96224379.00,3803,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,328.05,333.55,319.40,320.00,320.00,325.20,,320.10,,,318090,103038681.00,4332,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,47.99,49.90,47.20,47.86,47.86,48.98,,47.83,,,877293,42591687.00,4910,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500108,INE153A01019,MTNL,A,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,49.70,50.55,48.51,49.50,49.50,49.50,,49.50,,,387144,19268486.00,2277,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,117.60,117.60,115.05,115.55,115.55,115.35,,115.50,,,82634,9617205.00,1282,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,501.25,511.75,498.65,501.70,501.70,501.70,,501.75,,,37465,18951279.00,1352,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,735.00,737.30,726.05,727.30,727.30,733.25,,727.65,,,605466,443663302.00,17467,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,105.50,111.25,105.00,109.40,109.40,105.80,,109.35,,,2373854,259903727.00,15048,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3254.60,3277.90,3216.30,3233.70,3231.50,3254.75,,3231.55,,,11110,36077915.00,1633,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,74.99,75.89,73.85,74.13,74.13,74.33,,74.21,,,274285,20579980.00,1632,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500117,INE500A01029,DCW,B,,,,,DCW LTD.,84.42,87.00,81.00,82.72,82.72,82.43,,82.47,,,184592,15467145.00,2425,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,B,,,,,DHAMPUR SUGAR MILLS LTD.,140.60,141.70,137.85,138.15,138.70,140.70,,138.15,,,23352,3264274.00,503,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,379.75,394.30,379.00,387.90,386.10,385.20,,387.95,,,1500,582927.00,131,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,9899.50,10000.05,9770.00,9772.75,9773.00,9773.60,,9772.75,,,318,3132549.00,96,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500124,INE089A01031,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,1216.00,1243.05,1216.00,1223.30,1223.30,1215.90,,1223.60,,,42185,51909545.00,3610,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500125,INE126A01031,EIDPARRY,A,,,,,E.I.D.-PARRY (INDIA) LTD.,795.05,812.40,776.90,780.25,783.80,794.55,,779.95,,,8308,6610641.00,733,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500126,INE199A01012,PGHL,A,,,,,PROCTER & GAMBLE HEALTH LIMITE,5398.20,5398.20,5290.00,5303.10,5295.30,5365.00,,5308.30,,,446,2377999.00,271,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500128,INE086A01029,ELECTCAST,A,,,,,ELECTROSTEEL CASTINGS LTD.,107.60,109.60,104.90,105.30,105.30,107.55,,105.35,,,101939,10865689.00,1885,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500133,INE284A01012,ESABINDIA,A,,,,,ESAB INDIA LTD.,4911.20,4911.20,4721.10,4815.35,4839.05,4911.20,,4798.40,,,208,999033.00,150,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500135,INE255A01020,EPL,A,,,,,EPL LIMITED,251.85,255.35,243.20,247.50,246.20,257.05,,247.70,,,46481,11506563.00,1483,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500136,INE778B01029,ESTER,B,,,,,ESTER INDUSTRIES LTD.,147.50,156.30,146.90,154.95,156.30,148.40,,154.95,,,19004,2897281.00,831,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500142,INE512A01016,FGP,X,,,,,FGP LTD.,10.00,10.79,10.00,10.76,10.79,9.81,,10.76,,,16805,177600.00,98,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500143,INE160F01013,PHCAP,XT,,,,,PH CAPITAL LTD.,290.50,290.50,276.00,276.00,276.00,290.50,,276.00,,,4320,1192939.00,95,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500144,INE235A01022,FINCABLES,A,,,,,FINOLEX CABLES LTD.,882.55,1059.05,865.10,1004.75,1014.00,882.55,,998.80,,,263445,257254338.00,10165,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500147,INE515A01019,COCKERILL,B,,,,,JOHN COCKERILL INDIA LIMITED,2894.35,2949.00,2725.00,2753.40,2753.40,2850.00,,2753.40,,,3929,11155873.00,391,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500148,INE516A01017,UFLEX,B,,,,,UFLEX LTD.,467.05,471.60,463.85,468.30,468.55,465.55,,467.05,,,182,85090.00,78,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500150,INE519A01011,FOSECOIND,B,,,,,FOSECO INDIA LTD.,3694.15,3721.35,3600.00,3627.45,3627.45,3611.65,,3607.65,,,23,84259.00,16,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500151,INE973A01010,GOLDENTOBC,Z,,,,,GOLDEN TOBACCO LTD.,41.82,42.00,40.80,41.99,41.99,40.00,,41.03,,,85,3532.00,21,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500153,INE388A01029,GANESHBE,B,,,,,GANESH BENZOPLAST LTD.,122.20,124.85,121.50,123.75,123.75,122.85,,122.70,,,1635,201982.00,96,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500159,INE085D01033,METROGLOBL,X,,,,,METROGLOBAL LIMITED,147.90,152.00,128.80,145.05,147.45,145.20,,145.05,,,16539,2339515.00,228,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500160,INE043A01012,GTL,B,,,,,GTL LTD.,10.01,10.13,9.90,9.97,9.97,10.02,,9.97,,,83134,834594.00,547,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500163,INE260B01028,GODFRYPHLP,A,,,,,GODFREY PHILLIPS INDIA LTD.,5440.00,5455.25,4915.55,4982.95,4982.95,5463.30,,4999.05,,,22183,114749432.00,5365,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500164,INE233A01035,GODREJIND,A,,,,,GODREJ INDUSTRIES LTD.,838.45,892.85,811.00,829.15,822.50,812.85,,825.05,,,57298,49350053.00,4138,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500165,INE531A01024,KANSAINER,A,,,,,KANSAI NEROLAC PAINTS LTD.,237.75,237.90,233.45,234.50,234.50,233.90,,234.70,,,24313,5730709.00,695,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500166,INE300A01016,GOODRICKE,X,,,,,GOODRICKE GROUP LTD.,223.55,223.95,205.25,207.65,207.65,217.00,,207.65,,,15043,3211524.00,224,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500168,INE533A01012,GOODYEAR,B,,,,,GOODYEAR INDIA LTD.,926.90,950.00,880.00,918.50,918.50,913.90,,918.50,,,17118,15774225.00,879,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500170,INE537A01013,GTNINDS,X,,,,,GTN INDUSTRIES LTD.,30.18,31.84,29.13,30.53,30.57,30.18,,30.53,,,1112,32805.00,34,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500171,INE539A01019,GHCL,A,,,,,GHCL LTD.,653.40,662.45,643.20,649.25,649.25,650.25,,650.20,,,7343,4794799.00,698,F1,1,,,,,
2025-02-13,2025-02-13,CM,BSE,STK,500173,INE538A01037,GFLLIMITED,B,,,,,GFL LIMITED,65.81,68.17,65.81,66.35,66.00,65.68,,66.54,,,979,65740.00,71,F1,1,,,,,
