TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-10-15,2025-10-15,CM,BSE,STK,100470,INE081A01020,TATASTEEL#,A,,,,,TATA IORN AN,173.00,173.00,173.00,173.15,173.00,170.40,,,,,1,173.00,1,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5115.00,5226.15,5098.35,5172.35,5172.50,5116.60,,5173.50,,,4459,23087785.00,1115,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,809.90,819.00,794.20,811.60,811.60,809.95,,813.25,,,23414,18808089.00,1417,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,998.00,1005.00,986.00,992.45,992.70,999.70,,991.95,,,12641,12610443.00,1065,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,33.06,33.83,32.87,33.05,33.05,33.04,,33.05,,,36754,1222176.00,269,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,51.89,52.42,51.30,51.59,51.70,51.54,,51.59,,,32158,1665124.00,429,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.49,4.56,4.47,4.50,4.50,4.48,,4.50,,,11911,54141.00,19,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.22,6.10,5.20,5.26,5.22,5.59,,5.26,,,42779,239205.00,105,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.59,8.90,8.30,8.48,8.48,8.55,,8.48,,,5866,49355.00,60,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,170.30,172.60,170.30,172.05,171.80,169.50,,172.15,,,22656,3889905.00,392,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,342.00,345.20,332.30,337.40,340.80,330.45,,334.35,,,466,158456.00,34,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5805.50,5835.90,5750.00,5767.65,5767.65,5823.35,,5766.55,,,1362,7899500.00,440,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,31.20,31.98,30.57,31.06,31.06,31.20,,31.06,,,18677,582921.00,162,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,542.05,549.10,542.05,547.80,547.50,548.00,,548.00,,,7009,3833209.00,427,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,21.16,21.66,21.13,21.43,21.43,21.16,,21.43,,,241909,5167785.00,817,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,16774.95,16880.00,16524.95,16610.45,16610.45,16579.20,,16609.05,,,4483,74858959.00,1322,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1030.75,1062.00,1018.60,1059.65,1059.65,1018.60,,1059.90,,,422354,442867542.00,10489,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,461.10,472.00,461.10,470.35,470.85,463.10,,469.60,,,3272,1533861.00,214,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,744.65,752.00,728.00,744.75,749.70,742.15,,744.55,,,55555,40899896.00,2377,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1605.35,1726.35,1605.35,1643.55,1640.30,1616.45,,1644.20,,,37584,62892782.00,3398,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,4529.95,4529.95,4432.55,4453.40,4464.00,4481.75,,4454.15,,,889,3962290.00,223,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1139.95,1139.95,1109.15,1124.25,1130.65,1124.50,,1123.70,,,8729,9801352.00,1003,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,4364.65,4534.75,4340.00,4474.15,4470.00,4357.20,,4471.10,,,35552,159079057.00,4603,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,403.45,410.15,403.00,408.15,408.15,402.15,,408.10,,,478251,194755866.00,10168,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,99.75,99.95,98.25,98.50,98.55,98.95,,98.50,,,15954,1579867.00,331,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,12.28,12.69,11.72,12.50,12.50,12.28,,12.50,,,24837,302988.00,79,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,B,,,,,BIL VYAPAR LIMITED,12.27,12.40,11.99,12.09,12.00,12.40,,12.12,,,1573,19063.00,21,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,154.50,160.60,154.30,159.85,159.85,154.75,,159.05,,,1773,281753.00,50,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1870.85,1923.00,1870.80,1918.50,1917.65,1880.35,,1913.35,,,8209,15594682.00,671,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,13850.00,13879.00,13506.45,13602.50,13602.00,13697.55,,13602.50,,,108,1472521.00,54,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,320.00,320.00,315.50,317.10,317.10,315.50,,317.10,,,261,83132.00,20,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,70.10,77.00,70.10,74.98,75.00,75.12,,74.97,,,4556,345178.00,170,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,326.65,336.60,322.00,332.10,332.00,329.65,,331.80,,,1107,365305.00,142,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,34.80,34.80,31.55,31.55,31.55,33.21,,31.59,,,71661,2284826.00,216,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,168.05,176.80,168.05,176.10,176.10,167.40,,176.20,,,453540,78937270.00,6817,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,483.30,486.20,479.00,485.15,485.40,483.35,,485.05,,,35596,17139447.00,1626,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,394.65,395.00,389.75,390.30,391.65,392.75,,390.60,,,48519,19050647.00,1129,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1531.70,1564.85,1531.70,1557.90,1557.90,1553.10,,1558.70,,,17770,27642646.00,2131,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,537.00,544.80,511.00,513.35,515.00,527.35,,513.45,,,2159,1114818.00,168,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4600.00,4787.15,4576.70,4728.95,4734.90,4596.65,,4728.40,,,6311,29814095.00,1270,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,749.55,759.15,744.90,757.10,756.10,745.55,,757.30,,,51820,38993361.00,1659,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,494.05,494.45,486.00,493.45,493.45,487.10,,493.15,,,22412,11019119.00,718,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,358.00,381.20,358.00,376.10,381.00,358.00,,377.70,,,5679,2099502.00,282,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,286.30,300.00,284.95,296.95,296.95,286.25,,297.15,,,31653,9249173.00,942,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,232.10,237.90,232.10,235.80,235.80,232.10,,235.80,,,101730,23997219.00,1653,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,444.50,451.55,439.45,448.65,447.85,442.25,,448.65,,,1212993,535869124.00,2953,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,55.06,56.26,54.67,55.54,55.54,54.98,,55.62,,,510160,28174812.00,2528,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500108,INE153A01019,MTNL,B,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,42.35,42.65,42.13,42.17,42.17,42.30,,42.18,,,42438,1793427.00,328,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,141.05,143.85,139.05,142.00,141.80,141.05,,142.10,,,225346,31806625.00,2586,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,767.35,777.20,755.75,758.20,758.20,766.55,,758.20,,,33989,26032266.00,1269,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,877.20,887.75,877.20,886.20,886.20,876.90,,886.10,,,564545,499042090.00,32101,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,128.25,131.65,128.25,130.25,130.25,128.85,,130.30,,,813396,105966174.00,4726,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3525.20,3562.30,3511.40,3548.95,3539.25,3533.00,,3549.00,,,42487,150517872.00,8442,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,92.00,93.88,91.66,93.19,93.18,91.86,,93.15,,,306983,28478024.00,2070,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500117,INE500A01029,DCW,A,,,,,DCW LTD.,65.33,66.30,64.87,66.00,65.90,65.33,,66.05,,,29663,1949725.00,229,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,B,,,,,DHAMPUR SUGAR MILLS LTD.,137.95,138.05,134.65,136.15,136.00,137.45,,136.20,,,4822,657972.00,172,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,294.05,296.00,293.85,295.25,295.25,292.65,,295.15,,,114,33730.00,13,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,9730.05,9730.05,9410.00,9512.15,9598.90,9548.50,,9512.15,,,325,3105146.00,193,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500124,INE089A01031,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,1238.00,1241.80,1231.30,1232.50,1231.80,1237.25,,1232.40,,,94820,117538931.00,1468,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500125,INE126A01031,EIDPARRY,A,,,,,E.I.D.-PARRY (INDIA) LTD.,1029.60,1043.00,1025.50,1034.70,1034.70,1039.75,,1034.40,,,5101,5272841.00,659,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500126,INE199A01012,PGHL,A,,,,,PROCTER & GAMBLE HEALTH LIMITE,6135.35,6182.00,6044.65,6168.45,6169.00,6135.35,,6172.85,,,453,2762579.00,175,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500128,INE086A01029,ELECTCAST,A,,,,,ELECTROSTEEL CASTINGS LTD.,93.49,97.10,92.20,95.95,95.95,92.61,,95.99,,,144846,13745311.00,1492,F1,1,,,,,
2025-10-15,2025-10-15,CM,BSE,STK,500133,INE284A01012,ESABINDIA,A,,,,,ESAB INDIA LTD.,4918.00,4919.00,4825.00,4867.90,4879.00,4902.85,,4869.95,,,180,875578.00,83,F1,1,,,,,
