TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-07-30,2025-07-30,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5649.95,5649.95,5471.00,5555.70,5554.65,5580.35,,5554.00,,,12368,68261449.00,3755,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,725.25,737.35,719.90,723.15,722.00,726.05,,722.75,,,12855,9334409.00,948,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1004.85,1004.85,975.00,979.95,979.95,993.30,,979.80,,,46308,45644017.00,3478,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,32.94,33.45,32.51,33.09,33.09,32.39,,33.09,,,26195,865672.00,155,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,53.99,54.40,52.95,53.06,53.02,53.24,,53.06,,,43102,2295837.00,245,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,5.34,5.45,5.34,5.34,5.34,5.44,,5.39,,,2736,14633.00,15,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.16,5.45,5.16,5.21,5.20,5.19,,5.21,,,23704,126087.00,98,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,9.30,9.38,8.97,9.38,9.38,9.22,,9.38,,,1601,14473.00,26,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,174.05,177.35,171.95,172.50,172.40,175.95,,172.51,,,107237,18616452.00,1220,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,346.45,349.25,344.10,344.10,344.10,341.30,,342.60,,,154,53433.00,17,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6799.95,6799.95,6696.30,6743.05,6731.85,6728.60,,6735.00,,,843,5675871.00,251,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,38.00,38.58,36.15,37.89,37.89,37.66,,37.89,,,8517,320632.00,140,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,625.00,634.10,621.20,630.25,630.25,622.10,,628.75,,,3724,2345142.00,639,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,24.30,24.33,23.81,23.85,23.84,24.21,,23.83,,,676382,16182193.00,2528,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,17950.25,18295.00,17602.05,17679.80,17679.80,17883.45,,17671.00,,,9017,161341472.00,2610,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,887.05,892.55,875.00,885.00,885.00,886.70,,884.85,,,297341,262775275.00,11896,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,592.70,595.25,585.05,589.65,589.60,590.85,,591.30,,,9430,5547340.00,570,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,614.95,615.40,595.50,606.30,606.30,604.25,,604.80,,,9543,5745777.00,622,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1982.95,1982.95,1901.00,1911.55,1911.55,1943.95,,1906.90,,,4481,8621484.00,769,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3700.05,3771.60,3684.05,3771.60,3771.60,3771.60,,3768.20,,,18,67187.00,10,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,5060.00,5199.00,4945.00,5016.20,5016.20,5041.15,,5011.50,,,4224,21266892.00,1030,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1208.75,1208.75,1196.00,1199.30,1200.90,1195.95,,1200.20,,,1693,2030260.00,157,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,4079.50,4096.00,4005.65,4018.30,4022.00,4063.10,,4018.60,,,13143,53113396.00,1203,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,391.10,392.50,385.20,386.40,386.40,388.35,,386.50,,,637038,247218597.00,13261,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,111.15,111.25,109.25,109.50,109.25,110.25,,109.57,,,17698,1956880.00,338,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,15.66,16.35,15.19,15.62,15.33,15.71,,15.62,,,19207,301910.00,65,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,12.60,12.60,12.45,12.60,12.60,12.39,,12.60,,,2822,35542.00,11,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,T,,,,,Birla Cable Limited,170.40,173.90,170.40,170.60,170.60,171.30,,170.60,,,1049,179322.00,18,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1745.10,1765.20,1740.00,1755.10,1755.10,1745.05,,1754.70,,,6837,11977016.00,1019,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,14000.00,14297.50,13937.00,14261.60,14295.00,13977.20,,14261.60,,,86,1216355.00,39,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,376.00,376.00,360.00,362.70,368.00,375.00,,362.70,,,1001,363069.00,14,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,83.11,84.47,82.77,83.37,83.37,83.35,,83.03,,,4869,407580.00,91,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,382.00,382.90,375.20,381.80,382.00,383.20,,378.60,,,415,158374.00,79,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,23.58,24.56,23.51,23.95,23.95,23.55,,23.81,,,55755,1343070.00,445,F1,1,,,,,
2025-07-30,2025-07-30,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,175.05,181.20,175.05,176.55,176.55,177.05,,176.60,,,1126644,201256530.00,19678,F1,1,,,,,
