TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-02-28,2025-02-28,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5119.95,5119.95,4916.35,4931.65,4957.95,5143.45,,4935.40,,,9705,48571390.00,3069,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,760.05,765.00,734.60,760.70,760.70,764.30,,760.20,,,52912,39787342.00,1822,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,994.80,1000.95,972.80,979.95,981.95,997.75,,979.20,,,54237,53516830.00,2824,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,40.10,40.10,37.93,39.36,39.92,40.64,,39.36,,,104735,4053036.00,635,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,54.00,54.33,52.00,52.84,52.84,54.07,,52.84,,,80102,4204143.00,695,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,6.62,6.72,6.62,6.62,6.62,6.96,,6.54,,,13901,92077.00,31,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.81,4.92,4.53,4.53,4.78,4.92,,4.53,,,97185,446557.00,140,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.70,10.70,10.10,10.28,10.25,10.68,,10.28,,,6277,64687.00,30,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,131.50,131.50,125.15,126.70,126.70,132.50,,126.90,,,149620,19104613.00,2125,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,367.00,367.00,360.00,360.00,360.00,363.00,,363.40,,,600,219955.00,4,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5302.00,5392.85,5250.00,5304.10,5304.10,5352.20,,5309.20,,,1546,8245299.00,448,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,32.70,32.70,30.24,31.26,31.25,31.83,,31.26,,,31956,990422.00,310,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,632.05,633.95,598.15,602.95,603.70,638.05,,603.30,,,8289,5044723.00,1096,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,19.55,19.60,18.26,18.61,18.85,19.76,,18.62,,,2094742,39120738.00,9478,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6585.15,6728.90,6464.50,6659.85,6704.00,6601.95,,6670.45,,,5854,38752366.00,1367,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,8689.65,8689.65,8513.90,8542.25,8542.25,8695.50,,8530.35,,,19605,168278781.00,4526,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,438.10,447.30,433.70,444.15,444.15,447.10,,444.25,,,33517,14767438.00,1541,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,309.55,321.00,298.55,314.95,318.85,310.15,,316.05,,,52743,16128758.00,2489,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1801.00,1920.90,1638.00,1860.30,1887.00,1845.15,,1863.05,,,34368,60337204.00,4164,F1,1,,,,,
2025-02-28,2025-02-28,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3437.30,3500.00,3285.00,3286.80,3286.80,3484.65,,3252.30,,,49,165531.00,15,F1,1,,,,,
